id,name,company_id:id,parent_id:id
department_admin,Administration,,
department_BD,Business Development,,
department_finance,Finance,,
department_accounting,Accounting,,department_finance
department_controlling,Controlling,,department_finance
department_HR,Human Resources,,
department_IT,IT,,
department_legal,Legal,,
department_marketing,Marketing,,
department_operations,Operations,,
department_QA,Quality,,
department_RM,Resource Management,,department_operations
department_neighborhood,Neighborhood,,
