id,name,default_max_allocated_days,leave_type_id/id
ELC.FR.BEREAVEMENT.01,Bereavement,0,LVT.FR.EXCEPTIONAL.01
ELC.FR.BIRTH.01,Birth,3,LVT.FR.EXCEPTIONAL.01
ELC.FR.MOVE.01,Move,1,LVT.FR.EXCEPTIONAL.01
ELC.FR.WEDDING.01,Wedding/Partnership,0,LVT.FR.EXCEPTIONAL.01
ELC.WW.BEREAVEMENT.01,Bereavement,0,LVT.WW.EXCEPTIONAL.01
ELC.WW.BIRTH.01,Birth,3,LVT.WW.EXCEPTIONAL.01
ELC.WW.MOVE.01,Move,1,LVT.WW.EXCEPTIONAL.01
ELC.WW.WEDDING.01,Wedding/Partnership,0,LVT.WW.EXCEPTIONAL.01
ELC.CH.WEDDING.01,Wedding/Partnership,3,LVT.CH.EXCEPTIONAL.01
ELC.CH.BEREAVEMENT.01,Bereavement,0,LVT.CH.EXCEPTIONAL.01
ELC.CH.MOVE.01,Move,0,LVT.CH.EXCEPTIONAL.01
ELC.CH.BIRTH.01,Birth,1,LVT.CH.EXCEPTIONAL.01
ELC.CH.EMPLOYMENT.01,Employement Search Interview,0.5,LVT.CH.EXCEPTIONAL.01
ELC.US.BEREAVEMENT.01,Bereavement,0,LVT.US.EXCEPTIONAL.01
ELC.US.JURY.01,Jury Duty,3,LVT.US.EXCEPTIONAL.01
ELC.US.BIRTHDAY.01,Birthday,1,LVT.US.EXCEPTIONAL.01
ELC.RRG.BEREAVEMENT.01,Bereavement Close Family,5,LVT.RRG.EXCEPTIONAL.01
ELC.CWLS.BEREAVEMENT.01,Bereavement Close Family,5,LVT.CWLS.EXCEPTIONAL.01
