id,name
prole_ADir,Associate Director
prole_Clin,Clinical
prole_CPA,Clinical Project Assistant
prole_CPM,Clinical Project Manager
prole_CTC,Clinical Trial Coordinator
prole_CRA,CRA
prole_CRAM,CRA Manager
prole_Dir,Director
prole_DPR,DPR
prole_eCTD,eCTD Specialist
prole_MDir,Medical Director
prole_MW,Medical Writer
prole_PA,Project Assistant
prole_RC,Regulatory Coordinator
prole_RS,Regulatory Scientist
prole_RSp,Regulatory Specialist
prole_SDir,Senior Director
prole_SeCTD,Senior eCTD Specialist
prole_SMD,Senior Medical Director
prole_SMDex,"Senior Medical Director, ex-agency"
prole_SMW,Senior Medical Writer
prole_SPM,Senior Project Manager
prole_SRS,Senior Regulatory Scientist
prole_SRSp,Senior Regulatory Specialist
prole_SVS,Senior Vigilance Scientist
prole_VPA,Vigilance Project Assistant
prole_VS,Vigilance Scientist
