id,name
EMPTAG_CH100,CH - 100%
EMPTAG_CH50,CH - 50%
EMPTAG_CH70,CH - 70%
EMPTAG_CH80,CH - 80%
EMPTAG_CH90,CH - 90%
EMPTAG_CWLS100,CWLS - 100%
EMPTAG_CWLS76,CWLS - 67%
EMPTAG_FRC100,FR.Cadre - 100%
EMPTAG_FRC80,FR.Cadre - 80%
EMPTAG_FRC90,FR.Cadre - 90%
EMPTAG_FRC10,FR.ETAM - 10%
EMPTAG_FRE100,FR.ETAM - 100%
EMPTAG_FRE80,FR.ETAM - 80%
EMPTAG_FREINT,FR.Internship - 100%
EMPTAG_IND100,IND - 100%
EMPTAG_RRG100,RRG - 100%
EMPTAG_RRG60,RRG - 60%
EMPTAG_RRG80,RRG - 80%
EMPTAG_US100,US - 100%
EMPTAG_WWC100,WW.Cadre - 100%
EMPTAG_WWC60,WW.Cadre - 60%
EMPTAG_WWC80,WW.Cadre - 80%
EMPTAG_WWC90,WW.Cadre - 90%
EMPTAG_WWE100,WW.ETAM - 100%
EMPTAG_CH1CH,CH - 1 child
EMPTAG_CH2CH,CH - 2 children
