id,name
prole01,Associate Director
prole02,Clinical
prole03,Clinical Project Assistant
prole04,Clinical Project Manager
prole05,Clinical Trial Coordinator
prole06,CRA
prole07,CRA Manager
prole08,Director
prole09,DPR
prole10,eCTD Specialist
prole11,Medical Director
prole12,Medical Writer
prole13,Project Assistant
prole14,Regulatory Coordinator
prole15,Regulatory Scientist
prole16,Regulatory Specialist
prole17,Senior Director
prole18,Senior eCTD Specialist
prole19,Senior Medical Director
prole20,"Senior Medical Director, ex-agency"
prole21,Senior Medical Writer
prole22,Senior Project Manager
prole23,Senior Regulatory Scientist
prole24,Senior Regulatory Specialist
prole25,Senior Vigilance Scientist
prole26,Vigilance Project Assistant
