id,company_id:id,contract_type,duration,notification_delay,is_prolonged
TRIAL_VWW_ETAM_1,base.main_company,ETAM,1,2,FALSE
TRIAL_VWW_CADRE_1,base.main_company,Cadre,4,30,FALSE
TRIAL_VWW_ETAM_2,base.main_company,ETAM,1,15,TRUE
TRIAL_VWW_CADRE_2,base.main_company,Cadre,3,30,TRUE
TRIAL_VCFR_ETAM_1,company_VCFR,ETAM,1,2,FALSE
TRIAL_VCFR_CADRE_1,company_VCFR,Cadre,4,30,FALSE
TRIAL_VCFR_ETAM_2,company_VCFR,ETAM,1,15,TRUE
TRIAL_VCFR_CADRE_2,company_VCFR,Cadre,3,30,TRUE
TRIAL_CWLS_1,company_CWLS,,6,7,FALSE
TRIAL_RRG_1,company_RRG,,6,7,FALSE
TRIAL_VCCH_1,company_VCCH,,3,15,FALSE
TRIAL_VCPVT_1,company_VCPVT,,3,2,FALSE
TRIAL_VCPVT_2,company_VCPVT,,3,2,TRUE
